Latitude loc 1,Longitude loc1,place
17.50541,78.3015322,HIG
17.5066172,78.4112384,Allwyn Colony
17.5073336,78.4077422,Jagathgiri Gutta
17.5115974,78.4588539,Subhash Nagar
17.5159882,78.2988637,Ramachandrapuram-Bhel Twp
17.5161534,78.4496168,Chinthal
17.5169014,78.3428304,Miyapur
17.518468,78.3038449,Beeramguda
17.5186369,78.3962529,Pragathi Nagar
17.5192439,78.3066246,Ramachandra Puram
17.5196675,78.3778542,Nizampet
17.5196968,78.4586419,Jeedimetla
17.5217602,78.510961,Bolarum
17.5287427,78.266725,Patancheru
17.5349627,78.4022446,Gajularamaram
17.5366218,78.4844811,Kompally
17.5404964,78.3773352,Whisper Valley
17.5412112,78.4338481,Suraram
17.5466066,78.4667757,Dulapally
17.5502182,78.3358612,Mallampet
17.5513353,78.3855189,Bachupally
17.5581413,78.3425151,Bollaram
17.5629233,78.3751566,Maheshwaram
17.5722729,78.399696,Bowrampet
17.5958184,78.5712832,Shamirpet
17.8297,78.9931553,Gangapur
17.8442922,78.478036,Tupran
17.8114554,78.7915999,Medak
17.7997265,78.5785667,Madharam
